respondent_id,satisfaction_rating,recommendation,primary_reason
1,4,No,Features
2,5,No,Quality
3,3,No,Customer Service
4,5,No,Other
5,5,No,Customer Service
6,2,Yes,Customer Service
7,3,No,Quality
8,3,Yes,Quality
9,3,No,Quality
10,5,Yes,Price
11,4,No,Features
12,3,Yes,Price
13,5,No,Features
14,2,Yes,Features
15,4,No,Customer Service
16,2,Yes,Customer Service
17,4,No,Features
18,5,Yes,Features
19,1,Yes,Price
20,4,No,Price
21,2,No,Customer Service
22,5,Yes,Quality
23,4,No,Features
24,1,Yes,Price
25,1,Yes,Customer Service
26,3,Yes,Price
27,3,No,Features
28,2,Yes,Features
29,4,Yes,Other
30,4,No,Quality
31,3,No,Other
32,4,No,Customer Service
33,4,No,Price
34,1,Yes,Customer Service
35,3,Yes,Features
36,5,Yes,Other
37,3,Yes,Other
38,5,No,Other
39,1,Yes,Customer Service
40,2,Yes,Features
41,4,No,Price
42,1,Yes,Price
43,4,Yes,Customer Service
44,2,Yes,Other
45,2,Yes,Quality
46,1,Yes,Customer Service
47,2,Yes,Customer Service
48,5,No,Features
49,2,No,Price
50,4,Yes,Customer Service
51,4,Yes,Customer Service
52,4,No,Other
53,4,Yes,Other
54,5,Yes,Quality
55,3,Yes,Features
56,1,No,Quality
57,4,Yes,Other
58,2,No,Price
59,4,Yes,Other
60,2,No,Features
61,2,No,Other
62,4,Yes,Features
63,5,No,Features
64,2,Yes,Features
65,2,No,Features
66,4,Yes,Features
67,2,Yes,Price
68,2,No,Quality
69,4,Yes,Customer Service
70,4,Yes,Quality
71,1,No,Features
72,5,Yes,Price
73,5,Yes,Other
74,2,No,Price
75,5,No,Features
76,2,Yes,Price
77,1,Yes,Price
78,4,No,Features
79,4,No,Price
80,4,Yes,Customer Service
81,5,No,Customer Service
82,1,Yes,Price
83,5,Yes,Other
84,5,Yes,Features
85,1,Yes,Customer Service
86,1,Yes,Other
87,1,No,Price
88,1,No,Other
89,4,No,Quality
90,3,No,Customer Service
91,3,Yes,Price
92,1,Yes,Features
93,3,Yes,Price
94,3,Yes,Features
95,1,No,Price
96,3,Yes,Other
97,5,Yes,Other
98,2,No,Other
99,2,No,Quality
100,1,No,Features
101,4,No,Other
102,1,Yes,Quality
103,4,Yes,Features
104,2,No,Price
105,1,Yes,Quality
106,5,Yes,Customer Service
107,3,Yes,Quality
108,4,No,Quality
109,3,Yes,Features
110,3,No,Price
111,1,Yes,Customer Service
112,3,Yes,Other
113,5,Yes,Other
114,3,No,Quality
115,1,Yes,Features
116,5,No,Features
117,2,No,Other
118,3,No,Customer Service
119,1,Yes,Price
120,2,Yes,Customer Service
121,2,Yes,Price
122,4,Yes,Other
123,5,No,Price
124,3,No,Features
125,1,No,Quality
126,4,Yes,Quality
127,5,No,Other
128,4,Yes,Features
129,5,No,Customer Service
130,5,Yes,Features
131,3,Yes,Quality
132,5,No,Quality
133,4,No,Features
134,5,No,Features
135,3,No,Quality
136,3,Yes,Customer Service
137,4,No,Other
138,2,No,Other
139,2,No,Features
140,5,Yes,Other
141,1,Yes,Quality
142,5,No,Quality
143,4,Yes,Features
144,4,No,Features
145,4,Yes,Features
146,4,Yes,Customer Service
147,4,Yes,Other
148,3,Yes,Features
149,2,No,Price
150,4,No,Price
151,1,No,Quality
152,1,Yes,Other
153,1,No,Features
154,1,No,Price
155,3,No,Other
156,1,Yes,Quality
157,4,Yes,Customer Service
158,5,Yes,Other
159,1,No,Other
160,3,No,Customer Service
161,3,No,Other
162,1,Yes,Quality
163,5,Yes,Quality
164,1,No,Customer Service
165,3,Yes,Features
166,2,Yes,Price
167,4,Yes,Features
168,3,Yes,Other
169,1,No,Price
170,4,Yes,Customer Service
171,1,Yes,Customer Service
172,1,Yes,Price
173,2,Yes,Quality
174,4,No,Price
175,4,No,Other
176,2,Yes,Quality
177,3,Yes,Customer Service
178,1,Yes,Price
179,5,Yes,Features
180,1,Yes,Features
181,1,Yes,Other
182,3,No,Features
183,1,Yes,Price
184,2,No,Price
185,2,No,Features
186,4,Yes,Price
187,5,No,Other
188,1,No,Quality
189,1,No,Other
190,3,No,Other
191,2,No,Price
192,5,No,Quality
193,4,Yes,Price
194,2,No,Customer Service
195,4,No,Price
196,3,No,Price
197,3,Yes,Price
198,1,No,Quality
199,5,Yes,Price
200,4,No,Quality
201,2,Yes,Features
202,3,Yes,Customer Service
203,1,No,Quality
204,1,No,Features
205,4,Yes,Quality
206,3,No,Quality
207,5,Yes,Customer Service
208,3,Yes,Other
209,4,Yes,Other
210,4,Yes,Quality
211,3,Yes,Price
212,4,No,Features
213,3,Yes,Price
214,2,Yes,Price
215,3,No,Quality
216,3,Yes,Quality
217,4,No,Quality
218,4,No,Quality
219,1,No,Other
220,1,Yes,Quality
221,2,Yes,Other
222,1,Yes,Other
223,3,No,Quality
224,4,Yes,Customer Service
225,1,No,Features
226,1,Yes,Price
227,2,No,Other
228,2,Yes,Features
229,3,Yes,Customer Service
230,4,Yes,Price
231,2,No,Price
232,1,No,Other
233,4,Yes,Quality
234,4,Yes,Customer Service
235,1,No,Other
236,2,No,Customer Service
237,1,No,Quality
238,4,Yes,Quality
239,5,No,Other
240,5,Yes,Quality
241,3,No,Features
242,1,Yes,Price
243,1,No,Other
244,3,No,Customer Service
245,3,No,Features
246,3,No,Other
247,4,No,Quality
248,1,Yes,Quality
249,4,No,Quality
250,3,No,Quality
